# Step MSD_caffeine(A^2)
# TimeStep c_cMSDcaf[4]
1000 1.02457
2000 1.47289
3000 1.58155
4000 1.12049
5000 1.14368
6000 0.711674
7000 1.32115
8000 1.58517
9000 0.591615
10000 0.824758
11000 0.70356
12000 1.27004
13000 2.06322
14000 1.70994
15000 1.7163
16000 1.85021
17000 2.93371
18000 5.17147
19000 8.15802
20000 8.12325
21000 8.32463
22000 6.60086
23000 6.33726
24000 6.98906
25000 7.522
26000 6.28417
27000 6.97298
28000 4.67257
29000 3.95045
30000 3.60803
31000 4.95452
32000 5.94709
33000 6.02626
34000 7.86569
35000 5.79598
36000 6.37301
37000 5.167
38000 5.1882
39000 4.83981
40000 4.91744
41000 4.25976
42000 4.88795
43000 5.7842
44000 6.45033
45000 4.81604
46000 3.91587
47000 6.11785
48000 4.44358
49000 3.28035
50000 4.20304
51000 4.17671
52000 4.61452
53000 4.55739
54000 4.72228
55000 4.04799
56000 5.86719
57000 8.96801
58000 9.02347
59000 7.29889
60000 6.61694
61000 6.95618
62000 6.86465
63000 7.14478
64000 7.60115
65000 9.15513
66000 9.73165
67000 8.56984
68000 8.45911
69000 8.74267
70000 10.4868
71000 10.4041
72000 12.348
73000 10.6684
74000 8.22083
75000 8.23569
76000 6.16222
77000 6.71927
78000 8.01173
79000 9.57516
80000 9.88136
81000 9.71619
82000 9.82513
83000 9.66478
84000 9.62971
85000 8.81401
86000 9.38168
87000 10.5983
88000 9.49326
89000 10.0031
90000 10.3896
91000 9.742
92000 7.77225
93000 8.72009
94000 9.02179
95000 9.41413
96000 8.8466
97000 8.94442
98000 9.90758
99000 8.32241
100000 6.40174
101000 8.45511
102000 8.00028
103000 7.97845
104000 7.6711
105000 7.35751
106000 7.59291
107000 6.72326
108000 8.05331
109000 7.99929
110000 9.72409
111000 12.0698
112000 12.6052
113000 13.53
114000 15.1054
115000 14.9698
116000 14.9688
117000 14.81
118000 13.2738
119000 11.1499
120000 11.5978
121000 11.0489
122000 11.1083
123000 10.8825
124000 12.814
125000 13.2183
126000 13.665
127000 13.06
128000 13.8684
129000 13.457
130000 13.8619
131000 13.2153
132000 11.1582
133000 11.906
134000 12.7041
135000 13.1532
136000 13.8073
137000 14.1057
138000 13.9505
139000 13.9831
140000 14.0293
141000 14.2964
142000 14.2627
143000 14.292
144000 14.2066
145000 14.4701
146000 14.6375
147000 15.3926
148000 14.9606
149000 14.6939
150000 15.1041
151000 15.0705
152000 15.049
153000 15.0208
154000 14.7625
155000 15.1425
156000 15.5239
157000 15.3416
158000 15.3139
159000 15.317
160000 15.5742
161000 15.7677
162000 15.9523
163000 16.2355
164000 15.7536
165000 15.9411
166000 16.3448
167000 15.3688
168000 16.055
169000 16.0678
170000 16.0014
171000 16.9807
172000 19.1423
173000 19.0736
174000 19.6679
175000 18.8387
176000 18.1402
177000 18.9105
178000 19.248
179000 18.7124
180000 18.939
181000 18.0791
182000 19.1711
183000 19.1059
184000 19.6515
185000 19.4853
186000 20.5361
187000 19.3127
188000 19.3078
189000 19.7366
190000 19.8658
191000 19.2371
192000 20.1279
193000 20.8
194000 21.0466
195000 22.2083
196000 21.2207
197000 23.1894
198000 22.8914
199000 22.2045
200000 21.7061
201000 21.0907
202000 23.6126
203000 25.5858
204000 26.1116
205000 26.1407
206000 25.3129
207000 24.1269
208000 24.9071
209000 27.0194
210000 27.1578
211000 28.3844
212000 26.2415
213000 25.1439
214000 25.886
215000 24.8753
216000 23.6412
217000 24.2808
218000 25.0435
219000 25.232
220000 24.3069
221000 24.2798
222000 24.1771
223000 23.6672
224000 22.477
225000 22.3145
226000 22.2721
227000 21.6842
228000 20.5922
229000 19.5292
230000 23.6936
231000 23.4945
232000 23.2967
233000 23.811
234000 22.8551
235000 21.2491
236000 24.3242
237000 24.5906
238000 24.5769
239000 22.5098
240000 22.7146
241000 21.8348
242000 23.4488
243000 19.8778
244000 22.4712
245000 20.0513
246000 20.6508
247000 23.3353
248000 22.0012
249000 20.6274
250000 22.6878
251000 24.4493
252000 23.9702
253000 21.2751
254000 20.7701
255000 18.7736
256000 20.8966
257000 19.7526
258000 20.2085
259000 20.5136
260000 19.4739
261000 19.7181
262000 18.4427
263000 19.3863
264000 19.1389
265000 17.7077
266000 19.221
267000 20.1199
268000 20.5405
269000 20.5316
270000 20.4287
271000 21.6538
272000 21.1811
273000 20.3234
274000 21.0253
275000 22.403
276000 24.8224
277000 22.1126
278000 21.2684
279000 21.79
280000 22.1945
281000 19.1343
282000 19.8135
283000 21.4228
284000 20.8915
285000 20.7552
286000 20.0603
287000 19.0556
288000 20.4473
289000 19.4827
290000 20.837
291000 18.9006
292000 19.7441
293000 18.3254
294000 17.7328
295000 19.3437
296000 19.4122
297000 20.1399
298000 20.5098
299000 21.063
300000 20.6831
301000 18.1066
302000 20.0941
303000 21.6411
304000 21.4517
305000 23.0887
306000 21.9928
307000 22.1763
308000 23.7888
309000 22.9619
310000 24.894
311000 23.8354
312000 24.6682
313000 24.3037
314000 25.4007
315000 26.827
316000 24.4984
317000 25.0814
318000 25.4953
319000 24.5979
320000 23.3235
321000 23.5657
322000 24.4615
323000 24.5851
324000 26.4693
325000 27.5877
326000 26.5807
327000 25.4947
328000 25.9891
329000 26.983
330000 25.2677
331000 25.342
332000 25.4585
333000 27.1554
334000 27.026
335000 26.8746
336000 26.0647
337000 26.1877
338000 25.6294
339000 24.817
340000 24.216
341000 26.0075
342000 25.8034
343000 26.3632
344000 26.9639
345000 26.5268
346000 25.1992
347000 24.409
348000 24.4177
349000 25.9875
350000 25.4649
351000 24.7626
352000 23.428
353000 21.8971
354000 23.5567
355000 23.6426
356000 23.2452
357000 22.6836
358000 24.755
359000 25.7996
360000 26.5868
361000 26.2405
362000 29.5587
363000 29.559
364000 28.6334
365000 28.7826
