# Step MSD_waterO(A^2)
# TimeStep c_cMSDwatO[4]
1000 0.741177
2000 1.79979
3000 2.68626
4000 3.58857
5000 4.2012
6000 4.85205
7000 5.55068
8000 6.69611
9000 7.61177
10000 8.35506
11000 9.22562
12000 9.84091
13000 10.9629
14000 11.6825
15000 12.0561
16000 12.7433
17000 13.5725
18000 14.452
19000 15.4731
20000 16.5917
21000 17.3324
22000 18.5606
23000 19.5156
24000 20.1149
25000 20.902
26000 21.7488
27000 22.7711
28000 23.502
29000 24.2724
30000 25.099
31000 25.949
32000 26.5392
33000 26.976
34000 27.9
35000 28.475
36000 29.309
37000 29.7292
38000 30.3614
39000 31.1345
40000 31.9299
41000 32.0691
42000 32.9273
43000 33.8065
44000 34.5909
45000 35.1787
46000 35.5632
47000 36.4047
48000 37.2301
49000 37.8921
50000 38.1715
51000 38.3013
52000 38.6037
53000 39.6771
54000 40.3286
55000 40.6919
56000 40.9761
57000 41.5666
58000 42.4396
59000 43.3095
60000 44.5708
61000 45.8741
62000 47.1697
63000 48.1334
64000 49.1173
65000 49.6932
66000 50.1593
67000 51.3839
68000 52.3153
69000 53.0697
70000 53.7802
71000 54.1842
72000 54.6282
73000 54.9152
74000 55.7397
75000 56.3289
76000 57.4034
77000 58.061
78000 58.6007
79000 59.3789
80000 59.891
81000 60.5255
82000 61.313
83000 61.8865
84000 63.4113
85000 64.0848
86000 64.7741
87000 65.4931
88000 65.4081
89000 65.648
90000 66.1692
91000 66.8135
92000 67.5171
93000 68.0056
94000 69.2214
95000 70.2771
96000 71.1639
97000 71.8922
98000 72.3315
99000 72.7387
100000 74.165
101000 75.5504
102000 76.485
103000 77.8458
104000 78.4841
105000 79.3776
106000 80.6686
107000 81.6517
108000 82.5744
109000 83.7145
110000 84.6109
111000 84.947
112000 85.5944
113000 85.8573
114000 86.1795
115000 86.9114
116000 88.9618
117000 89.36
118000 90.3094
119000 90.7385
120000 92.0396
121000 93.814
122000 94.2958
123000 94.4977
124000 94.9381
125000 94.3027
126000 94.7924
127000 95.5452
128000 96.0563
129000 97.6117
130000 98.6579
131000 99.03
132000 100.286
133000 100.123
134000 100.306
135000 101.229
136000 101.889
137000 102.639
138000 103.929
139000 105.527
140000 107.795
141000 109.032
142000 109.438
143000 110.55
144000 111.589
145000 112.381
146000 112.575
147000 112.966
148000 114.487
149000 115.446
150000 115.862
151000 117.037
152000 119.003
153000 119.517
154000 120.053
155000 120.086
156000 120.328
157000 120.742
158000 121.105
159000 122.004
160000 123.121
161000 124.046
162000 124.492
163000 124.54
164000 126.026
165000 127.576
166000 128.563
167000 129.042
168000 130.488
169000 131.568
170000 132.461
171000 132.901
172000 134.015
173000 134.396
174000 133.691
175000 133.825
176000 134.41
177000 134.455
178000 135.611
179000 137.141
180000 136.868
181000 137.22
182000 138.425
183000 139.917
184000 141.562
185000 142.154
186000 142.95
187000 143.855
188000 144.39
189000 145.606
190000 146.164
191000 147.326
192000 149.126
193000 150.726
194000 150.687
195000 151.138
196000 151.181
197000 150.715
198000 151.903
199000 152.517
200000 154.051
201000 155.011
202000 155.037
203000 155.759
204000 156.003
205000 157.467
206000 158.421
207000 159.241
208000 160.436
209000 162.132
210000 163.324
211000 163.275
212000 163.12
213000 163.987
214000 165.178
215000 165.524
216000 166.739
217000 167.546
218000 169.086
219000 170.008
220000 171.026
221000 171.84
222000 173.087
223000 173.939
224000 173.108
225000 174.084
226000 175.253
227000 176.591
228000 176.625
229000 177.207
230000 177.566
231000 179.055
232000 179.869
233000 179.822
234000 180.185
235000 180.152
236000 181.439
237000 181.684
238000 183.163
239000 183.471
240000 183.814
241000 183.723
242000 184.036
243000 184.984
244000 185.294
245000 185.111
246000 186.637
247000 187.429
248000 188.699
249000 189.972
250000 190.904
251000 190.723
252000 191.494
253000 192.577
254000 192.653
255000 193.072
256000 193.79
257000 194.851
258000 195.341
259000 195.95
260000 196.373
261000 196.826
262000 198.184
263000 199.54
264000 200.603
265000 200.75
266000 200.968
267000 201.604
268000 202.067
269000 202.902
270000 203.969
271000 204.155
272000 204.88
273000 206.329
274000 207.956
275000 209.264
276000 209.447
277000 210.379
278000 210.363
279000 211.02
280000 212.197
281000 213.989
282000 215.458
283000 216.366
284000 217.51
285000 218.317
286000 219.642
287000 221.074
288000 222.352
289000 223.766
290000 224.29
291000 225.782
292000 227.246
293000 227.761
294000 228.2
295000 228.183
296000 229.363
297000 229.804
298000 230.469
299000 230.585
300000 232.688
301000 233.963
302000 234.613
303000 235.771
304000 236.794
305000 237.642
306000 238.523
307000 239.058
308000 240.778
309000 242.492
310000 242.638
311000 243.523
312000 245.034
313000 246.248
314000 247.267
315000 248.311
316000 249.405
317000 250.132
318000 251.559
319000 251.35
320000 253.218
321000 253.8
322000 254.554
323000 254.865
324000 253.532
325000 253.905
326000 253.406
327000 254.038
328000 255.967
329000 258.089
330000 259.217
331000 259.854
332000 261.062
333000 261.743
334000 263.587
335000 264.336
336000 266.505
337000 268.858
338000 270.31
339000 271.285
340000 271.436
341000 273.573
342000 273.167
343000 272.897
344000 273.993
345000 275.844
346000 276.854
347000 277.295
348000 277.11
349000 275.776
350000 276.878
351000 277.958
352000 278.62
353000 278.613
354000 278.527
355000 279.598
356000 281.646
357000 281.748
358000 281.938
359000 282.617
360000 282.868
361000 284.397
362000 284.695
363000 285.152
364000 286.064
365000 287.465
366000 288.175
367000 288.743
368000 289.217
369000 289.46
370000 290.559
371000 291.381
372000 291.611
373000 292.362
374000 292.738
375000 293.612
376000 294.721
377000 295.64
378000 296.108
379000 297.77
380000 298.092
381000 298.212
382000 298.895
383000 299.171
384000 299.462
385000 299.54
386000 300.598
387000 301.363
388000 302.304
389000 302.25
390000 303.789
391000 305.365
392000 305.081
393000 304.977
394000 304.915
395000 305.541
396000 306.294
397000 307.385
398000 307.795
399000 308.962
400000 310.271
401000 310.646
402000 310.862
403000 311.6
404000 312.382
405000 313.732
406000 313.844
407000 314.576
408000 314.668
409000 313.937
410000 313.577
411000 314.121
412000 315.372
413000 316.25
414000 316.516
415000 317.147
416000 317.646
417000 318.405
418000 318.885
419000 319.255
420000 320.035
421000 320.65
422000 321.226
423000 320.586
424000 321.516
425000 323.13
426000 324.402
427000 326.26
428000 327.498
429000 328.553
430000 328.826
431000 329.908
432000 329.836
433000 329.653
434000 330.889
435000 332.062
436000 333.366
437000 334.577
438000 334.139
439000 333.475
440000 335.122
441000 336.77
442000 337.882
443000 338.573
444000 339.341
445000 338.977
446000 339.289
447000 339.632
448000 341.022
449000 341.469
450000 342.509
451000 344.696
452000 344.519
453000 344.966
454000 345.248
455000 345.809
456000 346.226
457000 347.324
458000 348.34
459000 349.403
460000 351.549
461000 352.562
462000 353.818
463000 354.36
464000 356.483
465000 356.697
466000 358.167
467000 359.412
468000 360.448
469000 360.567
470000 360.937
471000 362.525
472000 362.454
473000 364.097
474000 364.975
475000 366.33
476000 367.253
477000 368.269
478000 369.36
479000 370.948
480000 372.271
481000 373.107
482000 373.961
483000 374.485
484000 375.624
485000 376.267
486000 377.85
487000 379.126
488000 378.827
489000 378.939
490000 378.504
491000 379.459
492000 380.321
493000 381.387
494000 380.511
495000 380.783
496000 381.739
497000 382.243
498000 384.025
499000 384.226
500000 385.874
501000 386.767
502000 387.19
503000 387.908
504000 389.763
505000 391.642
506000 391.911
507000 391.624
508000 391.642
509000 391.643
510000 392.534
511000 393.379
512000 393.483
513000 393.965
514000 394.682
515000 394.306
516000 394.519
517000 395.383
518000 397.56
519000 399.512
520000 400.6
521000 400.159
522000 399.805
523000 399.696
524000 399.759
525000 401.754
526000 403.997
527000 404.669
528000 406.145
529000 408.011
530000 409.003
531000 410.085
532000 409.94
533000 410.983
534000 412.879
535000 414.125
536000 415.052
537000 415.418
538000 416.63
539000 417.679
540000 419.406
541000 420.028
542000 420.549
543000 420.476
544000 421.293
545000 421.345
546000 421.856
547000 421.701
548000 421.204
549000 423.972
550000 423.938
551000 424.253
552000 425.397
553000 427.158
554000 426.866
555000 426.878
556000 427.291
557000 428.652
558000 429.463
559000 430.245
560000 430.483
561000 430.986
562000 431.936
563000 430.772
564000 432.36
565000 434.561
566000 436.156
567000 436.023
568000 436.257
569000 437.018
570000 438.428
571000 439.274
572000 439.997
573000 441.225
574000 441.692
575000 442.731
576000 442.94
577000 443.642
578000 444.395
579000 445.015
580000 446.693
581000 446.889
582000 448.408
583000 447.855
584000 448.692
585000 450.45
586000 452.693
587000 453.532
588000 453.742
589000 454.271
590000 454.793
591000 457.017
592000 457.444
593000 457.943
594000 459.478
595000 460.566
596000 462.195
597000 462.701
598000 463.332
599000 465.433
600000 466.367
601000 468.115
602000 468.797
603000 469.042
604000 468.567
605000 469.92
606000 470.688
607000 471.077
608000 472.252
609000 472.589
610000 474.152
611000 475.742
612000 474.815
613000 475.237
614000 475.733
615000 476.93
616000 478.768
617000 480.296
618000 481.59
619000 484.27
620000 485.595
621000 487.099
622000 488.851
623000 489.859
624000 491.438
625000 491.16
626000 490.512
627000 490.231
628000 490.9
629000 491.286
630000 490.82
631000 491.82
632000 492.068
633000 492.242
634000 492.035
635000 493.391
636000 493.677
637000 495.057
638000 497.015
639000 498.621
640000 500.047
641000 501.017
642000 502.48
643000 502.501
644000 503.09
645000 505.338
646000 507.29
647000 509.652
648000 512.713
649000 513.068
650000 514.285
651000 515.1
652000 516.701
653000 517.705
654000 518.674
655000 520.084
656000 521.14
657000 521.954
658000 522.354
659000 522.551
660000 524.093
661000 525.22
662000 526.203
663000 527.393
664000 527.417
665000 529.485
666000 531.71
667000 533.665
668000 533.081
669000 532.587
670000 532.348
671000 531.771
672000 531.536
673000 532.692
674000 534.165
675000 535.4
676000 536.396
677000 536.541
678000 538.075
679000 537.444
680000 536.936
681000 538.169
682000 538.415
683000 539.406
684000 541.109
685000 543.389
686000 543.625
687000 544.332
688000 544.814
689000 545.118
690000 547.008
691000 547.759
692000 548.784
693000 550.348
694000 552.532
695000 552.982
696000 554.742
697000 557.087
698000 558.423
699000 559.664
700000 561.516
701000 560.885
702000 562.032
703000 561.761
704000 562.227
705000 562.697
706000 563.716
707000 565.749
708000 567.671
709000 567.99
710000 567.577
711000 569.891
712000 570.118
713000 571.187
714000 572.762
715000 575.108
716000 575.451
717000 575.341
718000 577.211
719000 576.124
720000 576.36
721000 579.188
722000 579.423
723000 579.364
724000 580.512
725000 579.846
726000 581.288
727000 583.809
728000 586.457
729000 587.348
730000 586.929
731000 585.676
732000 585.42
733000 587.286
734000 589.728
735000 589.804
736000 590.002
737000 589.795
738000 590.057
739000 589.779
740000 588.88
741000 591.375
742000 593.528
743000 592.699
744000 592.766
745000 592.143
746000 591.166
747000 591.606
748000 592.747
749000 592.832
750000 593.397
751000 592.869
752000 593.198
753000 593.711
754000 594.776
755000 596.192
756000 596.351
757000 598.254
758000 599.17
759000 599.948
760000 599.8
761000 600.747
762000 602.719
763000 604.158
764000 603.947
765000 605.304
766000 604.734
767000 606.317
768000 606.917
769000 606.711
770000 605.989
771000 605.696
772000 606.4
773000 608.242
774000 608.874
775000 610.421
776000 611.161
777000 611.866
778000 611.698
779000 613.087
780000 614.523
781000 615.341
782000 618.547
783000 618.989
784000 619.048
785000 618.383
786000 618.767
787000 620.369
788000 621.869
789000 621.446
790000 622.235
791000 622.444
792000 621.205
793000 621.921
794000 622.699
795000 625.051
796000 627.858
797000 628.396
798000 629.57
799000 629.348
800000 630.556
801000 633.085
802000 633.742
803000 635.332
804000 636.947
805000 638.671
806000 639.902
807000 641.296
808000 640.618
809000 641.063
810000 641.581
811000 641.079
812000 641.78
813000 641.204
814000 639.992
815000 640.353
816000 642.32
817000 643.382
818000 643.13
819000 644.389
820000 643.44
821000 644.968
822000 646.244
823000 646.541
824000 647.909
825000 648.99
826000 650.668
827000 651.934
828000 651.387
829000 651.403
830000 653.575
831000 654.141
832000 654.223
833000 656.865
834000 657.808
835000 657.382
836000 658.953
837000 661.607
838000 661.63
839000 661.853
840000 663.255
841000 664.918
842000 665.306
843000 666.629
844000 666.178
845000 665.412
846000 666.109
847000 668.557
848000 669.514
849000 670.636
850000 671.808
851000 671.959
852000 672.629
853000 671.761
854000 671.413
855000 673.086
856000 675.642
857000 674.684
858000 675.475
859000 674.639
860000 675.578
861000 675.658
862000 677.387
863000 678.077
864000 679.258
865000 678.466
866000 679.796
867000 679.783
868000 680.688
869000 681.326
870000 680.629
871000 680.237
872000 681.603
873000 680.934
874000 682.421
875000 682.656
876000 683.289
877000 684.226
878000 684.943
879000 685.313
880000 685.471
881000 686.657
882000 686.458
