# Time-averaged data for fix fxAvg
# TimeStep v_vTemp v_vPress v_vDens v_vPE v_vKE v_vEtot v_vVol
1000 297.412 245.604 0.988123 -8959.44 1438.83 -7520.6 24546.1
2000 301.997 -326.172 0.988123 -8898.32 1461.02 -7437.3 24546.1
3000 300.015 109.414 0.988123 -8958.93 1451.43 -7507.5 24546.1
4000 295.262 194.984 0.988123 -9002.76 1428.43 -7574.33 24546.1
5000 287.608 58.0733 0.988123 -9049.74 1391.4 -7658.34 24546.1
6000 295.286 -105.644 0.988123 -8989.6 1428.55 -7561.05 24546.1
7000 302.163 -252.085 0.988123 -8957.97 1461.82 -7496.14 24546.1
8000 294.974 -93.0819 0.988123 -8988.77 1427.04 -7561.73 24546.1
9000 303.803 373.66 0.988123 -8947.52 1469.75 -7477.76 24546.1
10000 303.307 208.512 0.988123 -8935.77 1467.35 -7468.41 24546.1
11000 298.419 351.772 0.988123 -8964.57 1443.71 -7520.86 24546.1
12000 303.884 95.5429 0.988123 -8900.58 1470.15 -7430.44 24546.1
13000 302.022 -58.3426 0.988123 -8921.06 1461.14 -7459.92 24546.1
14000 295.88 -75.882 0.988123 -8969.67 1431.43 -7538.25 24546.1
15000 294.816 41.7557 0.988123 -9008.31 1426.28 -7582.03 24546.1
16000 300.579 -328.059 0.988123 -9011.59 1454.16 -7557.43 24546.1
17000 294.102 -626.117 0.988123 -8895.75 1422.82 -7472.92 24546.1
18000 303.593 -735.142 0.988123 -8885.35 1468.74 -7416.61 24546.1
19000 299.789 -317.11 0.988123 -8916.64 1450.33 -7466.3 24546.1
20000 292.07 -296.635 0.988123 -8950.06 1412.99 -7537.07 24546.1
21000 297.135 69.3629 0.988123 -8932.09 1437.5 -7494.59 24546.1
22000 297.355 144.481 0.988123 -8939.99 1438.56 -7501.44 24546.1
23000 291.76 102.562 0.988123 -9023.15 1411.49 -7611.66 24546.1
24000 296.942 71.4408 0.988123 -8944.75 1436.56 -7508.18 24546.1
25000 299.444 -201.017 0.988123 -8920.18 1448.67 -7471.52 24546.1
26000 299.37 -361.129 0.988123 -8884.89 1448.31 -7436.58 24546.1
27000 300.185 -191.266 0.988123 -8889.3 1452.25 -7437.04 24546.1
28000 300.398 -105.734 0.988123 -8866.62 1453.28 -7413.34 24546.1
29000 300.12 123.61 0.988123 -8890.09 1451.93 -7438.16 24546.1
30000 299.285 -70.1326 0.988123 -8917.58 1447.9 -7469.68 24546.1
31000 294.471 129.002 0.988123 -8907.1 1424.61 -7482.5 24546.1
32000 298.046 26.7143 0.988123 -8889.7 1441.9 -7447.8 24546.1
33000 297.817 -336.309 0.988123 -8909.61 1440.8 -7468.81 24546.1
34000 297.672 -252.47 0.988123 -8959.63 1440.09 -7519.54 24546.1
35000 303.61 -15.8259 0.988123 -8904.18 1468.82 -7435.35 24546.1
36000 303.09 278.243 0.988123 -8923.89 1466.31 -7457.58 24546.1
37000 293.904 -422.421 0.988123 -8942.18 1421.86 -7520.32 24546.1
38000 304.528 211.987 0.988123 -8940.51 1473.26 -7467.24 24546.1
39000 297 316.822 0.988123 -8980.01 1436.84 -7543.17 24546.1
40000 299.902 65.7288 0.988123 -8924.32 1450.88 -7473.44 24546.1
41000 294.789 148.222 0.988123 -8902.68 1426.15 -7476.53 24546.1
42000 292.765 -263.926 0.988123 -8979.41 1416.36 -7563.05 24546.1
43000 299.367 278.761 0.988123 -8975.86 1448.29 -7527.56 24546.1
44000 296.527 -123.517 0.988123 -8961.56 1434.56 -7527 24546.1
45000 294.661 -153.63 0.988123 -8997.9 1425.53 -7572.38 24546.1
46000 300.931 48.4932 0.988123 -8970.44 1455.86 -7514.58 24546.1
47000 297.544 132.86 0.988123 -8967.09 1439.48 -7527.61 24546.1
48000 298.713 335.155 0.988123 -8982.3 1445.13 -7537.17 24546.1
49000 293.611 114.769 0.988123 -9007.27 1420.45 -7586.82 24546.1
50000 301.792 106.861 0.988123 -8977.18 1460.02 -7517.16 24546.1
51000 295.27 -418.881 0.988123 -8987.94 1428.48 -7559.46 24546.1
52000 299.936 -111.117 0.988123 -8956.62 1451.05 -7505.57 24546.1
53000 297.815 -82.4887 0.988123 -8986.31 1440.78 -7545.52 24546.1
54000 291.882 124.17 0.988123 -9049.04 1412.08 -7636.96 24546.1
55000 296.065 -395.305 0.988123 -8986.94 1432.32 -7554.62 24546.1
56000 297.604 -405.243 0.988123 -8941.11 1439.76 -7501.34 24546.1
57000 293.9 -112.758 0.988123 -8971.14 1421.85 -7549.29 24546.1
58000 293.762 -557.988 0.988123 -8969.7 1421.18 -7548.53 24546.1
59000 299.219 -204.771 0.988123 -8918.42 1447.58 -7470.84 24546.1
60000 304.185 -56.0471 0.988123 -8858.49 1471.6 -7386.89 24546.1
61000 296.678 252.735 0.988123 -8917.06 1435.29 -7481.77 24546.1
62000 301.699 139.967 0.988123 -8930.45 1459.58 -7470.87 24546.1
63000 293.625 137.598 0.988123 -8957.59 1420.51 -7537.08 24546.1
64000 299.053 214.241 0.988123 -8946.18 1446.78 -7499.4 24546.1
65000 296.253 -201.968 0.988123 -8910.99 1433.23 -7477.76 24546.1
66000 304.952 -71.4646 0.988123 -8875.64 1475.31 -7400.33 24546.1
67000 299.403 -149.152 0.988123 -8958 1448.47 -7509.53 24546.1
68000 297.446 337.916 0.988123 -8954.53 1439 -7515.53 24546.1
69000 303.328 -202.173 0.988123 -8920.66 1467.46 -7453.2 24546.1
70000 297.729 211.912 0.988123 -8954.3 1440.37 -7513.93 24546.1
71000 302.853 -115.044 0.988123 -8904.66 1465.16 -7439.51 24546.1
72000 294.757 -389.765 0.988123 -8951.48 1425.99 -7525.49 24546.1
73000 301.863 -309.373 0.988123 -8942.2 1460.37 -7481.83 24546.1
74000 294.813 -133.191 0.988123 -8913.62 1426.26 -7487.36 24546.1
75000 303.549 -8.07759 0.988123 -8901.07 1468.53 -7432.54 24546.1
76000 295.842 -44.3887 0.988123 -8953.35 1431.24 -7522.11 24546.1
77000 301.759 -159.243 0.988123 -8942.01 1459.87 -7482.14 24546.1
78000 298.983 -810.44 0.988123 -8908.73 1446.44 -7462.29 24546.1
79000 295.777 -452.139 0.988123 -8983.84 1430.92 -7552.92 24546.1
80000 300.356 -524.082 0.988123 -8915.19 1453.08 -7462.11 24546.1
81000 299.062 154.368 0.988123 -8939.84 1446.82 -7493.02 24546.1
82000 294.385 21.9863 0.988123 -8955.25 1424.19 -7531.06 24546.1
83000 300.968 17.572 0.988123 -8964.64 1456.04 -7508.61 24546.1
84000 298.904 304.777 0.988123 -8995.63 1446.05 -7549.58 24546.1
85000 298.124 -130.553 0.988123 -9000.07 1442.28 -7557.79 24546.1
86000 303.445 178.738 0.988123 -8944.48 1468.02 -7476.46 24546.1
87000 303.224 56.5887 0.988123 -8909.44 1466.95 -7442.48 24546.1
88000 295.504 213.092 0.988123 -8972.24 1429.61 -7542.63 24546.1
89000 299.867 59.4156 0.988123 -8940.36 1450.71 -7489.65 24546.1
90000 290.679 -164.48 0.988123 -8972.95 1406.26 -7566.69 24546.1
91000 298.735 -142.872 0.988123 -8966.24 1445.24 -7521.01 24546.1
92000 296.297 -125.041 0.988123 -8948.82 1433.44 -7515.38 24546.1
93000 302.97 -269.264 0.988123 -8916.52 1465.73 -7450.8 24546.1
94000 297.623 -201.034 0.988123 -8949.9 1439.86 -7510.05 24546.1
95000 297.105 -84.7643 0.988123 -8953.9 1437.35 -7516.55 24546.1
96000 300.244 -95.0042 0.988123 -8915.71 1452.54 -7463.17 24546.1
97000 296.888 -371.956 0.988123 -8948.48 1436.3 -7512.18 24546.1
98000 297.806 -214.64 0.988123 -8934.94 1440.74 -7494.2 24546.1
99000 297.317 -322.353 0.988123 -8950.3 1438.38 -7511.92 24546.1
100000 297.543 -262.839 0.988123 -8946.96 1439.47 -7507.49 24546.1
101000 300.712 -172.874 0.988123 -8958.71 1454.8 -7503.91 24546.1
102000 297.934 417.722 0.988123 -9005.33 1441.36 -7563.97 24546.1
103000 301.051 283.788 0.988123 -8952.92 1456.44 -7496.48 24546.1
104000 298.246 -8.56656 0.988123 -8917.14 1442.87 -7474.27 24546.1
105000 293.511 -193.235 0.988123 -8944.09 1419.96 -7524.13 24546.1
106000 299.348 -559.344 0.988123 -8870.63 1448.2 -7422.43 24546.1
107000 296.72 -675.985 0.988123 -8922.48 1435.49 -7486.99 24546.1
108000 292.19 -140.466 0.988123 -8991.72 1413.57 -7578.15 24546.1
109000 299.755 -40.4721 0.988123 -8960.4 1450.17 -7510.23 24546.1
110000 301.856 265.775 0.988123 -8948.5 1460.34 -7488.16 24546.1
111000 297.04 21.5994 0.988123 -8999.55 1437.04 -7562.51 24546.1
112000 303.681 513.224 0.988123 -8951.19 1469.17 -7482.02 24546.1
113000 303.229 451.289 0.988123 -8906.99 1466.98 -7440.02 24546.1
114000 293.848 -8.04907 0.988123 -8922 1421.59 -7500.4 24546.1
115000 302.146 90.7005 0.988123 -8892.51 1461.74 -7430.77 24546.1
116000 298.433 24.2258 0.988123 -8928.13 1443.78 -7484.36 24546.1
117000 294.745 -308.373 0.988123 -8923.7 1425.93 -7497.76 24546.1
118000 301.585 -88.9777 0.988123 -8888.2 1459.03 -7429.18 24546.1
119000 297.545 243.292 0.988123 -8948.49 1439.48 -7509.01 24546.1
120000 299.599 96.2021 0.988123 -8983.03 1449.42 -7533.61 24546.1
121000 302.346 116.242 0.988123 -8942.09 1462.71 -7479.38 24546.1
122000 297.549 133.059 0.988123 -8985.24 1439.5 -7545.74 24546.1
123000 298.014 1.38504 0.988123 -8939.81 1441.75 -7498.06 24546.1
124000 300.313 -250.713 0.988123 -8912.92 1452.87 -7460.05 24546.1
125000 294.818 -41.1918 0.988123 -8949.15 1426.29 -7522.87 24546.1
126000 295.325 -188.05 0.988123 -8968.91 1428.74 -7540.17 24546.1
127000 301.83 -284.712 0.988123 -8926.3 1460.21 -7466.1 24546.1
128000 295.74 -194.524 0.988123 -8946.09 1430.75 -7515.34 24546.1
129000 297.051 -23.0681 0.988123 -8958.88 1437.09 -7521.79 24546.1
130000 301.749 53.9715 0.988123 -8947.4 1459.82 -7487.59 24546.1
131000 293.831 139.085 0.988123 -8964.1 1421.51 -7542.59 24546.1
132000 302.894 114.026 0.988123 -8974.07 1465.36 -7508.72 24546.1
133000 291.762 80.73 0.988123 -9040.76 1411.5 -7629.25 24546.1
134000 293.432 -150.088 0.988123 -9008.58 1419.58 -7589 24546.1
135000 302.336 -54.5646 0.988123 -8989.36 1462.66 -7526.7 24546.1
136000 291.48 -464.405 0.988123 -9010.53 1410.14 -7600.39 24546.1
137000 297.07 -130.98 0.988123 -8957.45 1437.18 -7520.27 24546.1
138000 301.869 59.1611 0.988123 -8933.17 1460.4 -7472.77 24546.1
139000 295.049 -77.6159 0.988123 -8971.26 1427.4 -7543.86 24546.1
140000 300.815 -470.137 0.988123 -8926.74 1455.3 -7471.44 24546.1
141000 301.881 -308.176 0.988123 -8887.48 1460.46 -7427.02 24546.1
142000 295.291 -298.913 0.988123 -8948.79 1428.58 -7520.22 24546.1
143000 297.384 -147.359 0.988123 -8910.85 1438.7 -7472.15 24546.1
144000 297.523 -32.942 0.988123 -8905.54 1439.37 -7466.17 24546.1
145000 300.192 -586.278 0.988123 -8863.45 1452.28 -7411.17 24546.1
146000 299.304 -471.702 0.988123 -8886.11 1447.99 -7438.12 24546.1
147000 300.647 411.539 0.988123 -8959.86 1454.49 -7505.37 24546.1
148000 292.466 -506.972 0.988123 -8986.12 1414.91 -7571.21 24546.1
149000 295.727 -43.7588 0.988123 -8996.87 1430.68 -7566.18 24546.1
150000 297.143 -459.942 0.988123 -8914.47 1437.54 -7476.94 24546.1
